time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
98.10000000000001,0.0008059387027595165,0.0007992462828852351,0.0008123334645396123,0.0011561329384171435,0.0013103780480554288,0.0017019992125107404,0.0008620354127775811,0.0004481638727208716,0.00027621809437169476
98.2,0.0008068649425909821,0.0008001495661638652,0.000813268025370693,0.0011573904619067345,0.001311879456100907,0.001704041033563731,0.0008628387350189299,0.00044861009654780036,0.00027639946684066566
98.3,0.0008077910022860623,0.0008010526197975433,0.0008142023527922922,0.0011586454823393905,0.0013133788142808641,0.0017060828338873808,0.0008636862052294417,0.0004490770466771864,0.0002764764825424249
98.4,0.0008087168843575499,0.0008019554429485882,0.0008151364426830884,0.0011598979165583312,0.0013148772137812873,0.0017081246103838913,0.0008645659051326157,0.0004495191523465692,0.0002766606299779355
98.5,0.0008096425900869808,0.0008028580348956766,0.000816070295779386,0.0011611460775625808,0.001316376510519595,0.0017101663571468197,0.0008653800466140873,0.00044995779877222134,0.0002767910733339723
98.60000000000001,0.0008105681155369551,0.00080376039338957,0.0008170039140095586,0.0011623933754295191,0.0013178767834871308,0.0017122080731362883,0.0008661983656373716,0.00045040155432494913,0.0002768867232962126
98.7,0.0008114934572372888,0.0008046625178267739,0.0008179372942912164,0.0011636457716474606,0.0013193759204551488,0.0017142497617517927,0.0008670791152085956,0.00045083662457094594,0.00027693712598443566
98.8,0.0008124186161304238,0.0008055644061530277,0.0008188704324147097,0.001164908187064319,0.0013208732621846585,0.0017162914212637628,0.0008679167104143824,0.0004512552477495505,0.0002770312390410842
98.9,0.0008133435937997743,0.000806466058618544,0.0008198033278692118,0.001166175589762536,0.0013223770729280915,0.0017183330455051722,0.0008687149955182104,0.0004516757179361997,0.00027724446364542165
99.0,0.0008142683872798929,0.0008073674734480798,0.0008207359830365036,0.0011674409292005597,0.0013238823145813746,0.0017203746324466148,0.0008695762462347384,0.00045211012548893747,0.0002775010640336787
99.10000000000001,0.0008151929936280857,0.0008082686512936866,0.0008216683959768735,0.0011687106029357832,0.0013253856641863826,0.0017224161851640012,0.0008704390938047527,0.00045247298419585084,0.00027791822949658384
99.2,0.000816117413473756,0.0008091695904498044,0.0008226005618682485,0.0011699839738973745,0.0013268899052428147,0.0017244577035704792,0.0008712373122733135,0.00045285322918168494,0.0002782132667516856
99.3,0.000817041649780476,0.0008100702899795753,0.0008235324793291764,0.001171255137481112,0.0013283968627321684,0.0017264991816286826,0.0008720704690153427,0.0004532801369133616,0.0002786386685986306
99.4,0.0008179657001912648,0.0008109707493598379,0.0008244641507202043,0.0011725170171410079,0.0013298982541697496,0.001728540615743395,0.0008729455894170143,0.00045370826204447004,0.0002791277121444673
99.5,0.0008188895608371387,0.0008118709659977727,0.0008253955752352012,0.001173782427216553,0.0013313941969257193,0.0017305820082654637,0.0008737587267924017,0.00045415181269579144,0.0002794367214115225
99.60000000000001,0.0008198132302484646,0.000812770939899536,0.0008263267482230627,0.0011750415027830645,0.0013328950289653676,0.0017326233598154404,0.0008745653866823763,0.00045462230319754163,0.0002795701423196028
99.7,0.000820736711044814,0.0008136706691100923,0.0008272576670915706,0.0011762984911022566,0.0013343936538931112,0.0017346646662554138,0.000875435452178404,0.00045507430159520744,0.0002796577348977145
99.8,0.0008216600017801473,0.0008145701540783007,0.0008281883338609314,0.0011775585037873825,0.001335888289764258,0.0017367059227330096,0.0008762729137155433,0.00045550011100793414,0.0002797429058038492
99.9,0.0008225830986421992,0.0008154693936190494,0.0008291187489716344,0.00117881340890071,0.001337389278501417,0.0017387471313610684,0.0008770636182221238,0.000455926981298067,0.0002798362064697551
